scheme_id,scheme_name,scheme_description,income,gender,caste,disability,location,age,bpl_card,business_type,link,state
11,NMDFC Term Loan Scheme,Concessional term loans for minority entrepreneurs and artisans at 4-6% interest rate,300000,male,OBC,0,urban,18,1,service,https://nmdfc.org,All India
12,NBCFDC New Swarnima Scheme for Women,Concessional loans for OBC women entrepreneurs at subsidised interest rates,81000,female,OBC,0,urban,18,1,service,https://nbcfdc.gov.in,All India
13,Coir Udyami Yojana,25% government subsidy on project cost for coir processing and manufacturing units,300000,male,General,0,urban,18,0,manufacturing,https://www.kvic.gov.in,All India
14,Scheme of Fund for Regeneration of Traditional Industries (SFURTI),"Cluster-based support for traditional industries like khadi, coir and village industries",300000,male,General,0,urban,18,0,manufacturing,https://www.kvic.gov.in/sfurti,All India
15,PM Formalisation of Micro Food Processing Enterprises (PMFME),35% credit-linked subsidy up to Rs.10 lakh for upgrading micro food processing units,300000,male,General,0,urban,18,0,manufacturing,https://pmfme.mofpi.gov.in,All India
16,MSME Sustainable (ZED) Certification Scheme,Subsidised ZED certification to improve quality and sustainability of MSME products,300000,male,General,0,urban,18,0,manufacturing,https://zed.msme.gov.in,All India
17,Raising and Accelerating MSME Performance (RAMP),Capacity building and market access support for MSMEs to improve competitiveness,300000,male,General,0,urban,18,0,service,https://ramp.msme.gov.in,All India
18,National Livestock Mission - Entrepreneurship Development Programme,Subsidy and credit support for entrepreneurs in animal husbandry and livestock sector,300000,male,General,0,urban,18,0,service,https://nlm.udyamimitra.in,All India
19,Animal Husbandry Infrastructure Development Fund (AHIDF),"3% interest subvention on loans for dairy, meat and animal feed processing infrastructure",300000,male,General,0,urban,18,0,manufacturing,https://ahidf.udyamimitra.in,All India
20,Udyogini Scheme (Karnataka),Collateral-free loan with 30-50% subsidy for women to start small businesses in Karnataka,150000,female,General,0,urban,18,0,trade,https://kswdc.karnataka.gov.in,Karnataka
21,Interest Equalisation Scheme for MSME Exporters,3% interest subvention on export credit to improve competitiveness of MSME exporters,300000,male,General,0,urban,18,0,trade,https://www.dgft.gov.in,All India
22,Trade Related Entrepreneurship Assistance and Development (TREAD) Scheme for Women,30% government grant to NGOs for credit access and training for women entrepreneurs,300000,female,General,0,urban,18,0,trade,https://dcmsme.gov.in,All India
23,Mahila Udyam Nidhi Scheme (MUN),Soft loan of up to 25% of project cost maximum Rs.2.5 lakh for women-owned enterprises,300000,female,General,0,urban,18,0,service,https://www.sidbi.in,All India
24,Credit Linked Capital Subsidy Scheme for Technology Upgradation (CLCSS),15% upfront capital subsidy up to Rs.15 lakh for technology upgradation in MSEs,300000,male,General,0,urban,18,0,manufacturing,https://www.dcmsme.gov.in,All India
25,NSIC Single Point Registration Scheme (SPRS),"Tender-fee waiver, EMD exemption and price preference for MSEs in government procurement",300000,male,General,0,urban,18,0,service,https://www.nsicspronline.com,All India
26,National Handicrafts Development Programme (NHDP),"Cluster development, design support and marketing linkages for handicraft artisan groups",300000,male,General,0,urban,18,0,manufacturing,https://handicrafts.nic.in,All India
27,National Handloom Development Programme,Financial and infrastructure support for handloom weavers including yarn supply assistance,300000,male,General,0,urban,18,0,manufacturing,https://handlooms.nic.in,All India
28,NBCFDC Term Loan Scheme (General Backward Classes Entrepreneurs),Concessional term loans for OBC entrepreneurs across multiple self-employment sectors,81000,male,OBC,0,urban,18,1,service,https://nbcfdc.gov.in,All India
29,NSIC Raw Material Assistance Scheme,Credit-based raw material procurement facility for MSMEs to ease working capital pressure,300000,male,General,0,urban,18,0,manufacturing,https://www.nsic.co.in,All India
30,Government e-Marketplace (GeM) - MSE and Startup Enablement,Direct access to government buyers with relaxed eligibility and price preference for MSEs,300000,male,General,0,urban,18,0,service,https://gem.gov.in,All India
