income,gender,caste,disability,location,age,bpl_card,business_type,marginalization_score
3393,male,ST,1,rural,27,1,manufacturing,82.59
4713,female,General,0,rural,25,1,service,53.54
15110,male,OBC,0,urban,29,0,trade,31.7
5655,female,ST,0,urban,26,1,manufacturing,73.93
6902,female,SC,0,rural,26,0,service,74.09
4495,male,SC,0,rural,28,1,trade,67.1
9177,female,OBC,0,rural,29,0,manufacturing,55.12
5055,female,ST,1,rural,30,0,service,88.33
9447,female,General,0,rural,27,0,trade,43.52
8922,female,OBC,1,urban,26,0,manufacturing,60.1
6594,female,SC,0,rural,29,0,service,72.75
12994,male,OBC,0,rural,28,0,trade,41.18
2686,female,SC,1,rural,26,1,manufacturing,94.77
5189,female,ST,1,rural,27,0,service,90.3
4820,female,General,1,urban,31,1,trade,65.63
9718,female,SC,0,urban,31,0,manufacturing,58.04
9923,female,ST,0,urban,28,0,service,59.72
4065,female,SC,0,rural,29,1,trade,81.44
5790,female,OBC,0,rural,30,1,manufacturing,67.87
4027,female,ST,0,rural,29,1,service,83.24
4014,female,SC,1,urban,29,1,trade,86.37
5429,male,SC,0,rural,26,1,manufacturing,65.81
6168,female,General,0,rural,29,1,service,55.25
8408,male,ST,1,urban,27,0,trade,67.34
3094,female,ST,1,rural,29,1,manufacturing,100.0
17236,male,General,0,urban,29,0,service,17.2
3761,female,General,1,rural,25,1,trade,69.61
4179,female,OBC,1,rural,29,1,manufacturing,82.7
7653,male,ST,0,urban,30,1,service,59.1
16520,male,General,0,urban,29,0,trade,21.36
13890,male,OBC,0,rural,30,0,manufacturing,45.99
5713,female,SC,1,rural,32,0,service,88.31
4320,female,OBC,1,rural,28,1,trade,83.17
5674,male,General,1,rural,28,1,manufacturing,54.09
10161,female,OBC,1,urban,31,0,service,64.42
6881,male,OBC,1,urban,32,1,trade,56.37
8801,female,SC,0,rural,30,0,manufacturing,71.22
4188,male,SC,1,rural,30,1,service,77.43
7778,female,General,0,urban,30,1,trade,46.22
7577,female,General,1,rural,30,0,manufacturing,58.41
4437,female,SC,1,urban,29,1,service,85.94
11184,female,ST,0,urban,30,0,trade,65.58
11177,female,OBC,1,urban,31,0,manufacturing,62.93
11317,male,SC,0,rural,30,0,service,58.15
7593,male,ST,1,rural,32,0,trade,73.44
5432,female,SC,0,rural,33,1,manufacturing,80.74
7523,male,General,1,urban,32,1,service,47.32
21081,male,General,0,urban,32,0,trade,11.78
7895,male,ST,0,urban,31,1,manufacturing,60.55
4244,male,ST,1,rural,31,1,service,86.08
7213,male,ST,0,urban,35,1,trade,60.44
11469,female,OBC,1,urban,32,0,manufacturing,61.15
7725,male,SC,1,rural,30,0,service,73.89
16644,female,General,0,urban,34,0,trade,31.08
15427,male,OBC,0,rural,32,0,manufacturing,43.31
10648,male,General,1,rural,32,0,service,44.73
12324,male,SC,0,rural,31,0,trade,59.36
5347,female,SC,0,rural,31,1,manufacturing,80.45
16678,male,SC,0,urban,34,0,service,45.67
5180,female,ST,0,rural,34,1,trade,83.01
4932,female,General,1,rural,32,1,manufacturing,68.58
6914,female,OBC,0,rural,33,1,service,69.87
9537,female,SC,0,rural,34,0,trade,68.78
7112,female,General,1,urban,34,1,manufacturing,59.0
6426,male,ST,1,urban,31,1,service,77.86
6993,male,ST,0,rural,30,1,trade,69.47
13645,female,ST,0,urban,32,0,manufacturing,60.06
6863,male,ST,1,urban,34,1,service,74.97
16339,female,OBC,0,urban,32,0,trade,43.71
10038,male,ST,0,urban,31,1,manufacturing,59.31
9317,female,OBC,0,urban,32,1,service,56.21
8387,male,SC,1,rural,33,0,trade,75.5
13188,female,General,0,rural,33,0,manufacturing,43.84
14707,female,ST,0,urban,36,0,service,61.21
7681,female,General,0,rural,34,1,trade,55.67
7300,female,OBC,0,rural,35,1,manufacturing,65.65
11524,male,OBC,1,rural,35,0,service,60.08
5138,female,General,1,rural,34,1,trade,68.49
4055,female,ST,1,rural,34,1,manufacturing,100.0
6640,male,ST,0,rural,32,1,service,70.93
19186,female,OBC,0,urban,34,0,trade,45.9
9788,male,ST,1,rural,34,0,manufacturing,71.52
5697,female,SC,0,rural,35,1,service,80.02
7644,female,OBC,1,urban,36,1,trade,68.6
8118,female,ST,0,urban,33,1,manufacturing,76.19
5227,male,ST,1,rural,34,1,service,81.45
11024,female,OBC,0,urban,39,1,trade,59.37
20589,female,OBC,0,urban,36,0,manufacturing,45.6
17935,male,General,1,urban,35,0,service,32.33
6902,male,General,1,rural,37,1,trade,53.87
8753,female,SC,0,urban,37,1,manufacturing,72.28
9585,male,OBC,1,urban,35,1,service,57.22
7591,male,OBC,1,rural,39,1,trade,70.57
10136,male,General,0,rural,36,1,manufacturing,42.46
18289,male,OBC,1,urban,38,0,service,45.36
18772,male,ST,0,urban,38,0,trade,48.51
7038,male,ST,1,urban,35,1,manufacturing,75.67
8137,male,OBC,1,rural,37,1,service,67.24
5630,female,SC,1,urban,36,1,trade,83.03
15936,female,SC,0,urban,34,0,manufacturing,57.5
27928,male,OBC,0,urban,38,0,service,27.14
10197,male,General,1,urban,39,1,trade,46.8
8489,female,OBC,1,urban,36,1,manufacturing,70.22
19357,male,ST,0,urban,38,0,service,46.45
6623,female,ST,0,rural,38,1,trade,83.5
6402,female,OBC,1,rural,38,1,manufacturing,79.19
11616,female,OBC,1,rural,38,0,service,69.2
5434,male,SC,1,rural,38,1,trade,85.27
14113,male,SC,1,urban,37,0,manufacturing,63.06
6045,male,ST,1,rural,37,1,service,81.81
7976,female,SC,1,rural,37,0,trade,85.31
22108,female,OBC,0,urban,39,0,manufacturing,45.47
6492,female,ST,0,rural,36,1,service,82.78
11044,male,ST,1,rural,39,0,trade,72.72
11328,male,ST,0,urban,39,1,manufacturing,59.19
8496,female,SC,1,rural,40,0,service,85.86
22435,female,General,0,urban,40,0,trade,31.58
10149,female,General,0,rural,37,1,manufacturing,49.01
10259,male,General,1,urban,37,1,service,47.77
8585,female,OBC,1,urban,39,1,trade,69.5
8823,male,ST,0,rural,39,1,manufacturing,67.89
11299,female,SC,1,urban,36,0,service,75.74
8876,male,SC,0,rural,39,1,trade,67.16
21578,male,General,0,rural,36,0,manufacturing,24.02
15479,male,General,1,rural,39,0,service,40.85
7014,female,ST,1,urban,37,1,trade,88.64
9720,male,SC,1,rural,38,0,manufacturing,71.46
6668,male,ST,1,rural,40,1,service,82.27
17174,female,ST,0,urban,38,0,trade,62.76
9204,female,ST,1,rural,37,0,manufacturing,85.11
11427,female,SC,1,urban,40,0,service,76.01
12884,female,OBC,0,urban,39,1,trade,57.8
15303,male,ST,0,rural,41,0,manufacturing,59.46
17642,female,ST,0,urban,40,0,service,63.68
14033,female,OBC,0,urban,40,1,trade,55.05
7898,female,SC,0,rural,39,1,manufacturing,85.62
9932,female,SC,1,rural,41,0,service,83.9
17974,female,General,0,rural,38,0,trade,44.08
12457,female,SC,1,urban,37,0,manufacturing,70.97
13143,male,OBC,0,rural,40,1,service,49.68
13723,female,ST,1,urban,40,0,trade,75.84
15084,male,SC,1,urban,39,0,manufacturing,56.2
8581,male,General,1,rural,42,1,service,56.31
6488,male,SC,1,rural,42,1,trade,80.87
13159,female,General,1,rural,42,0,manufacturing,57.16
12556,male,General,1,urban,38,1,service,41.75
8767,male,SC,1,urban,37,1,trade,72.82
8909,male,SC,1,urban,44,1,manufacturing,69.26
13360,female,OBC,1,rural,44,0,service,69.41
9265,female,OBC,1,urban,40,1,trade,74.71
5358,female,ST,1,rural,41,1,manufacturing,96.59
24767,female,General,0,urban,44,0,service,30.38
32397,male,OBC,0,urban,42,0,trade,23.96
8018,female,ST,1,urban,43,1,manufacturing,87.39
12441,male,OBC,0,rural,40,1,service,52.86
7435,female,General,1,rural,41,1,trade,68.13
5845,female,SC,1,rural,40,1,manufacturing,96.07
13844,female,SC,1,urban,42,0,service,76.03
17220,male,OBC,0,urban,42,1,trade,43.75
9783,male,ST,0,rural,41,1,manufacturing,65.72
16381,male,OBC,1,rural,42,0,service,54.15
13900,female,OBC,1,rural,43,0,trade,71.72
17055,male,ST,1,urban,43,0,manufacturing,60.48
7933,female,General,1,rural,42,1,service,67.93
13396,male,General,1,urban,42,1,trade,43.32
13005,female,ST,1,urban,42,0,manufacturing,77.21
11120,female,General,0,rural,43,1,service,52.2
17506,male,ST,1,urban,42,0,trade,61.4
25197,male,SC,0,urban,43,0,manufacturing,41.39
19323,male,ST,0,rural,44,0,service,54.15
8766,female,ST,0,rural,44,1,trade,84.32
25389,male,SC,0,urban,43,0,manufacturing,39.92
13786,female,ST,0,rural,44,0,service,70.74
20185,male,SC,0,rural,43,0,trade,53.49
14428,female,SC,0,rural,42,0,manufacturing,67.99
6018,female,SC,1,rural,44,1,service,95.13
25792,male,SC,0,urban,43,0,trade,44.05
18337,male,ST,1,urban,42,0,manufacturing,63.8
27349,female,OBC,0,urban,45,0,service,42.68
7603,male,ST,1,rural,43,1,trade,86.32
22542,male,OBC,1,urban,47,0,manufacturing,44.91
10824,female,ST,1,rural,47,0,service,86.76
19444,male,ST,0,rural,47,0,trade,56.51
9278,male,ST,1,urban,44,1,manufacturing,74.23
15676,female,ST,1,urban,44,0,service,79.33
19319,male,General,0,urban,46,1,trade,27.99
11886,female,SC,1,rural,45,0,manufacturing,81.1
5601,female,SC,1,rural,43,1,service,96.93
14425,male,SC,0,urban,45,1,trade,54.61
14255,male,SC,0,urban,44,1,manufacturing,55.49
8981,female,SC,1,urban,44,1,service,85.92
8178,female,ST,1,urban,44,1,trade,89.82
15591,female,ST,1,urban,46,0,manufacturing,76.62
18093,male,OBC,1,rural,48,0,service,52.93
10892,male,General,1,rural,43,1,trade,52.42
14651,male,ST,0,urban,44,1,manufacturing,59.13
16225,female,SC,0,rural,45,0,service,71.16
18272,male,SC,1,urban,44,0,trade,64.0
11420,female,ST,1,rural,45,0,manufacturing,84.52
11964,female,General,1,urban,46,1,service,58.67
6405,female,ST,1,rural,47,1,trade,94.16
12463,female,OBC,1,urban,46,1,manufacturing,72.47
21581,male,General,0,urban,46,1,service,25.31
24852,male,General,1,urban,46,0,trade,28.45
16558,female,General,0,urban,47,1,manufacturing,43.26
17045,female,General,1,rural,49,0,service,54.28
36936,male,OBC,0,urban,45,0,trade,21.73
11290,male,OBC,1,rural,47,1,manufacturing,66.75
30971,female,General,0,urban,47,0,service,26.09
23539,male,ST,0,rural,46,0,trade,55.87
12173,female,SC,0,urban,46,1,manufacturing,69.29
15859,male,General,1,urban,47,1,service,44.06
13523,female,ST,0,urban,49,1,trade,73.85
9209,female,OBC,1,rural,48,1,manufacturing,80.47
21849,male,ST,0,rural,45,0,service,58.14
22790,female,General,0,rural,47,0,trade,40.97
12665,female,OBC,0,rural,48,1,manufacturing,68.89
30699,male,SC,0,urban,48,0,service,38.74
6981,female,ST,1,rural,48,1,trade,98.44
12098,male,ST,1,urban,49,1,manufacturing,72.62
22502,female,OBC,0,rural,49,0,service,53.74
23472,female,SC,0,urban,49,0,trade,54.94
14469,male,OBC,1,urban,48,1,manufacturing,56.72
21021,male,General,0,urban,49,1,service,26.43
16685,male,SC,1,rural,50,0,trade,70.47
13091,female,SC,0,urban,48,1,manufacturing,69.27
18994,female,General,1,rural,49,0,service,56.83
30324,male,OBC,1,urban,51,0,trade,36.81
29861,male,SC,0,urban,48,0,manufacturing,42.74
6835,female,SC,1,rural,51,1,service,95.24
8646,male,SC,1,rural,50,1,trade,79.7
22498,male,OBC,1,rural,48,0,manufacturing,50.64
17359,female,ST,1,urban,51,0,service,75.9
12339,male,SC,0,rural,51,1,trade,64.29
29434,male,ST,0,urban,50,0,manufacturing,40.76
12075,male,General,1,rural,49,1,service,50.16
12364,male,OBC,1,rural,49,1,trade,68.59
23332,male,ST,1,urban,46,0,manufacturing,60.09
29077,male,OBC,0,rural,48,0,service,36.96
17422,male,SC,0,urban,49,1,trade,56.44
17492,male,SC,0,urban,49,1,manufacturing,55.64
36705,female,General,0,urban,51,0,service,27.18
9655,female,OBC,1,rural,50,1,trade,85.24
24362,male,SC,0,rural,51,0,manufacturing,49.43
22892,female,General,1,urban,51,0,service,42.44
31152,male,ST,0,urban,48,0,trade,41.57
7077,female,SC,1,rural,48,1,manufacturing,94.9
13264,female,OBC,0,rural,48,1,service,63.85
35435,female,General,0,urban,48,0,trade,22.38
13946,male,SC,0,rural,52,1,manufacturing,62.82
17715,female,OBC,1,rural,51,0,service,65.72
25681,female,ST,0,urban,50,0,trade,58.7
18064,female,General,0,urban,52,1,manufacturing,40.23
10650,female,ST,1,urban,52,1,service,81.45
24247,female,General,1,urban,53,0,trade,45.8
18464,female,General,0,urban,50,1,manufacturing,40.95
18133,male,General,0,rural,53,1,service,31.84
13356,female,OBC,0,rural,52,1,trade,63.51
32060,female,OBC,0,urban,50,0,manufacturing,36.76
22514,male,SC,1,urban,50,0,service,56.81
15811,male,OBC,1,urban,51,1,trade,55.08
8068,female,ST,1,rural,53,1,manufacturing,96.67
14406,male,SC,0,rural,53,1,service,67.72
18470,female,SC,1,urban,54,0,trade,71.57
28983,female,OBC,0,rural,54,0,manufacturing,52.64
18326,male,OBC,0,rural,49,1,service,43.34
23709,male,SC,1,urban,53,0,trade,56.48
14812,female,OBC,1,urban,52,1,manufacturing,68.69
10745,female,General,1,rural,54,1,service,67.35
15057,female,OBC,0,rural,53,1,trade,62.52
32980,male,OBC,1,urban,54,0,manufacturing,38.56
19658,male,General,0,rural,54,1,service,33.3
26824,female,General,0,rural,53,0,trade,35.32
19317,female,General,0,urban,53,1,manufacturing,39.61
35065,male,ST,0,urban,53,0,service,40.35
10372,female,SC,1,urban,56,1,trade,85.16
20807,female,General,0,urban,51,1,manufacturing,42.13
10353,female,ST,1,urban,55,1,service,85.89
14290,male,ST,0,rural,55,1,trade,68.75
27853,female,OBC,1,urban,52,0,manufacturing,56.58
20147,female,ST,0,rural,54,0,service,68.36
26642,male,SC,0,rural,54,0,trade,50.4
18630,male,ST,1,rural,53,0,manufacturing,72.15
18049,male,ST,0,urban,51,1,service,53.14
23647,male,OBC,0,urban,53,1,trade,39.66
20973,female,ST,0,rural,54,0,manufacturing,66.95
47742,male,General,0,urban,54,0,service,6.13
20569,female,OBC,1,rural,53,0,trade,63.77
22128,male,OBC,0,urban,56,1,manufacturing,38.04
29727,female,SC,0,urban,53,0,service,50.72
24689,female,OBC,1,urban,57,0,trade,60.0
26980,male,ST,0,rural,55,0,manufacturing,53.11
37612,male,OBC,0,rural,58,0,service,27.85
16063,female,OBC,0,rural,56,1,trade,61.02
10467,female,ST,1,urban,56,1,manufacturing,86.76
24560,male,General,1,rural,55,0,service,39.44
25686,male,SC,1,urban,53,0,trade,54.4
20966,male,ST,1,rural,55,0,manufacturing,68.54
21782,female,ST,0,rural,54,0,service,66.42
29520,female,SC,0,urban,55,0,trade,53.96
35691,male,General,0,rural,55,0,manufacturing,20.68
15679,female,SC,0,urban,57,1,service,68.78
28726,male,OBC,0,urban,56,1,trade,38.44
25956,male,General,1,rural,55,0,manufacturing,34.53
15565,female,ST,1,rural,54,0,service,85.38
26797,male,OBC,0,urban,57,1,trade,34.44
27661,male,ST,0,rural,57,0,manufacturing,52.78
27036,male,General,1,rural,56,0,service,38.35
36517,male,OBC,0,rural,57,0,trade,34.8
11586,female,SC,1,urban,55,1,manufacturing,87.83
13612,male,General,1,rural,57,1,service,54.94
15314,male,ST,1,urban,58,1,trade,71.24
16402,female,ST,0,urban,57,1,manufacturing,68.96
16327,female,ST,0,urban,59,1,service,69.43
15945,male,OBC,1,rural,56,1,trade,66.07
21217,female,General,1,rural,56,0,manufacturing,54.05
19247,male,SC,0,urban,58,1,service,55.72
19339,male,ST,1,rural,57,0,trade,68.26
31056,female,General,1,urban,58,0,manufacturing,40.0
8491,female,ST,1,rural,58,1,service,97.19
10263,male,SC,1,rural,58,1,trade,79.21
19307,male,OBC,0,rural,59,1,manufacturing,48.67
19422,male,General,0,rural,58,1,service,35.18
16583,female,General,1,urban,58,1,trade,52.54
22029,female,OBC,1,rural,59,0,manufacturing,68.45
52657,male,OBC,0,urban,59,0,service,17.64
18628,male,OBC,1,urban,55,1,trade,52.17
17962,female,General,0,rural,57,1,manufacturing,46.45
14054,male,OBC,1,rural,58,1,service,62.04
11367,male,ST,1,rural,60,1,trade,84.8
14418,male,General,1,rural,60,1,manufacturing,47.89
15830,female,OBC,1,urban,61,1,service,66.54
29113,male,General,0,urban,59,1,trade,21.37
29744,female,OBC,1,urban,58,0,manufacturing,53.83
27231,male,ST,1,urban,60,0,service,55.91
28216,male,ST,1,urban,60,0,trade,58.34
16622,female,ST,1,rural,58,0,manufacturing,81.34
21754,female,OBC,0,urban,61,1,service,53.19
15638,male,OBC,1,rural,58,1,trade,65.94
21784,male,OBC,0,rural,57,1,manufacturing,44.8
23013,female,OBC,0,urban,61,1,service,49.07
29986,male,SC,1,urban,58,0,trade,56.55
30966,female,OBC,0,rural,61,0,manufacturing,48.37
22819,female,General,0,urban,62,1,service,38.25
38104,male,General,0,rural,58,0,trade,21.12
29019,male,ST,1,urban,61,0,manufacturing,56.95
26219,female,SC,0,rural,61,0,service,64.17
28974,male,SC,0,rural,59,0,trade,51.73
10901,male,SC,1,rural,59,1,manufacturing,79.42
31232,male,General,0,urban,60,1,service,23.78
12114,female,SC,1,urban,59,1,trade,83.22
17966,female,SC,0,urban,58,1,manufacturing,68.79
35304,male,General,1,urban,60,0,service,22.03
21919,female,ST,1,urban,62,0,trade,73.83
22764,female,General,1,rural,61,0,manufacturing,50.34
39567,male,SC,0,urban,61,0,service,35.56
42667,female,General,0,urban,61,0,trade,20.68
12013,female,SC,1,urban,60,1,manufacturing,83.54
27763,male,General,0,urban,60,1,service,22.64
22669,female,SC,1,urban,60,0,trade,66.11
32300,female,General,1,urban,62,0,manufacturing,40.45
16498,female,SC,1,rural,62,0,service,82.17
46595,male,General,0,rural,60,0,trade,13.87
14945,male,SC,1,urban,62,1,manufacturing,66.86
26192,female,ST,0,rural,61,0,service,67.08
30672,female,General,0,rural,62,0,trade,37.68
26848,female,OBC,0,urban,60,1,manufacturing,54.25
59369,male,OBC,0,urban,63,0,service,11.15
42978,male,General,0,rural,65,0,trade,18.53
14012,female,SC,0,rural,61,1,manufacturing,76.19
23495,male,SC,0,urban,62,1,service,52.52
43800,male,OBC,0,rural,64,0,trade,30.04
18159,male,SC,1,urban,62,1,manufacturing,66.63
19882,male,General,1,urban,64,1,service,38.48
42683,male,General,0,rural,63,0,trade,22.67
53120,male,OBC,0,urban,65,0,manufacturing,14.32
34437,male,OBC,0,urban,62,1,service,36.01
22123,male,General,0,rural,63,1,trade,33.08
15416,male,SC,1,urban,59,1,manufacturing,69.87
32505,female,SC,0,urban,64,0,service,52.68
35126,female,ST,0,urban,65,0,trade,52.46
17244,male,SC,1,urban,64,1,manufacturing,68.37
21969,male,OBC,1,urban,62,1,service,52.88
13493,male,SC,1,rural,62,1,trade,80.59
48347,male,ST,0,urban,65,0,manufacturing,36.94
18479,male,ST,0,rural,65,1,service,64.59
17565,male,SC,0,rural,65,1,trade,62.36
26777,female,SC,0,rural,62,0,manufacturing,64.78
18371,female,SC,1,rural,65,0,service,77.62
20451,female,SC,0,urban,64,1,trade,66.83
25112,male,General,0,rural,64,1,manufacturing,36.31
38580,male,OBC,1,urban,64,0,service,35.23
15618,male,SC,1,urban,64,1,trade,70.47
19235,female,ST,1,rural,63,0,manufacturing,82.88
64520,male,OBC,0,urban,64,0,service,12.27
15011,female,ST,0,rural,63,1,trade,81.59
29898,male,General,1,rural,64,0,manufacturing,37.15
26077,male,SC,1,rural,65,0,service,63.81
