ID,Scheme Name,Gender Eligibility,Social Category Eligibility,Entrepreneur / Business Relevance,Financial Assistance,Financial Benefit Details,Age Eligibility,Income Limit,State / Geographic Eligibility,Main Benefits,Official Application / Scheme URL,Recommendation Eligibility,Minimum Age ,Maximum Age 
21,Interest Equalisation Scheme for MSME Exporters,All,Any,"Reduces the effective interest cost on export credit, improving the price competitiveness of MSME exports",Yes,3% interest equalisation/subvention on pre- and post-shipment rupee export credit for MSME manufacturer exporters; annual benefit capped at about Rs. 50 lakh per Importer-Exporter Code (IEC),Not applicable,Not specified,All India,"Reduced interest cost on export credit, improving the global competitiveness of MSME exporters",https://www.dgft.gov.in,Verify ,Not Applicable,Not Applicable
22,Trade Related Entrepreneurship Assistance and Development (TREAD) Scheme for Women,Women,Any (economically weaker section focus),Combines credit access with training and counselling support for women entrepreneurs delivered via NGOs,Yes,Government of India grant of up to 30% of the total project cost (subject to a ceiling of Rs. 30 lakh) to NGOs for capacity-building; the remaining approximately 70% is financed as a loan by the lending bank,Not specified,Not specified,All India,"Combines credit access with training, counselling and capacity-building support for women entrepreneurs",https://dcmsme.gov.in,Don’t Recommend ,Not Specified,Not Specified 
23,Mahila Udyam Nidhi Scheme (MUN),Women,Any,Provides soft-loan/seed-capital assistance to bridge the equity gap for women-owned small enterprises,Yes,Soft loan of up to 25% of project cost (maximum Rs. 2.5 lakh) for projects costing up to Rs. 10 lakh; repayable over up to 10 years including a moratorium period,Not specified,Not specified,All India,Low-cost seed-capital assistance reducing the promoter's own-contribution burden for women-owned units,https://www.sidbi.in,Don’t Recommend ,Not Specified,Not Specified 
24,Credit Linked Capital Subsidy Scheme for Technology Upgradation (CLCSS / CLCS-TUS),All,"Any (special provisions referenced for SC/ST, women, NER, hill states and aspirational/LWE districts)",Provides a capital subsidy to reduce the cost of technology upgradation for manufacturing/service MSEs,Yes,"15% upfront capital subsidy on institutional finance used for technology upgradation, subject to a loan ceiling of Rs. 1 crore (maximum subsidy of about Rs. 15 lakh)",Not applicable (enterprise-level scheme),Not specified,All India,Reduces the effective cost of technology upgradation for MSEs through an upfront capital subsidy,https://www.dcmsme.gov.in,Verify ,Not Applicable ,Not Applicable
25,NSIC Single Point Registration Scheme (SPRS) / Public Procurement Policy for MSEs,All,"Any (dedicated procurement sub-targets: 4% for SC/ST-owned MSEs, 3% for women-owned MSEs)","Enables MSEs to participate in government tenders with tender-fee waivers, EMD exemption and price preference",No,"Not applicable (this is a market-access facilitation scheme rather than direct financial assistance); benefits include free tender sets, EMD exemption, price preference of up to L1+15%, and reserved procurement share",Not specified,Not specified,All India,"Every Central Ministry/Department/PSU must source a minimum 25% of annual procurement from MSEs, with 4% earmarked for SC/ST-owned units and 3% for women-owned units; registered MSEs also get EMD/tender-fee exemptions and price preference",https://www.nsicspronline.com,Recommend,Not Specified,Not Specified 
26,National Handicrafts Development Programme (NHDP),All,Any,"Supports handicraft artisans through cluster development, design intervention, marketing support and infrastructure",Yes,"Varies based on eligibility/project; component-wise assistance for cluster development, marketing support and design intervention. Precise current subsidy/grant figures were not independently verified with an official numeric source during this research and should be confirmed separately",Not specified,Not specified,All India,"Cluster development, design and marketing support, trade-fair participation and infrastructure development for handicraft artisan groups",https://handicrafts.nic.in,Verify ,Not Specified,Not Specified 
27,National Handloom Development Programme (NHDP - Handloom),All,Any,"Supports handloom weavers through cluster development, yarn supply support, marketing linkages and infrastructure",Yes,"Varies based on eligibility/project; component-wise assistance for cluster development, yarn-supply support (via the National Handloom Development Corporation) and weaver training. Precise current amounts were not independently verified with an official numeric source during this research",Not specified,Not specified,All India,"Financial and infrastructural support to handloom weaver clusters, yarn-supply assistance, and marketing linkages",https://handlooms.nic.in,Verify ,Not Specified,Not Specified 
28,NBCFDC Term Loan Scheme (General Backward Classes Entrepreneurs),All,OBC,Provides concessional term loans for setting up income-generating self-employment ventures across multiple sectors,Yes,Term loan / margin money loan; the loan amount and interest rate vary by sub-scheme and activity (distinct from the women-specific New Swarnima product listed separately),Not specified,"Below double the poverty line (older circular cites Rs. 81,000/year rural and Rs. 1,03,000/year urban; reconfirm current threshold on the official website)",All India (through State Channelizing Agencies),"Concessional term loans for OBC entrepreneurs across agriculture, small business, transport and service sectors",https://nbcfdc.gov.in,Verify ,Not Specified,Not Specified 
29,NSIC Raw Material Assistance Scheme,All,Any,"Facilitates procurement of both indigenous and imported raw materials on credit, easing working-capital pressure on MSMEs",Yes,Varies based on eligibility/project; NSIC facilitates raw-material procurement on a credit basis for member MSMEs. Precise current margin-money requirements and credit limits were not independently verified with an official numeric source during this research,Not applicable,Not specified,All India,"Helps MSMEs procure raw materials without a large upfront capital outlay, improving working-capital management",https://www.nsic.co.in,Verify ,Not Applicable,Not Applicable
30,Government e-Marketplace (GeM) - MSE and Startup Enablement,All (dedicated seller category and preference for women entrepreneurs),Any (dedicated preference for SC/ST-owned enterprises),Online marketplace giving entrepreneurs direct access to government procurement without intermediaries; includes a Startup Runway with relaxed eligibility norms,No,"Not applicable (this is a market-access platform, not a source of direct financial disbursement)",Not specified,Not specified,All India,"Direct access to government buyers, relaxed eligibility for MSEs and startups under the Startup Runway, and transparent online bidding",https://gem.gov.in,Recommend,Not Specified,Not Specified 
